Emotion ,Type,pcm_intensity_sma_amean,pcm_fftMag_mfcc_sma1_amean,pcm_fftMag_mfcc_sma2_amean,pcm_fftMag_mfcc_sma3_amean,pcm_fftMag_mfcc_sma4_amean,pcm_fftMag_mfcc_sma5_amean,pcm_fftMag_mfcc_sma6_amean,pcm_fftMag_mfcc_sma7_amean,pcm_fftMag_mfcc_sma8_amean,pcm_fftMag_mfcc_sma10_amean,pcm_fftMag_mfcc_sma11_amean,pcm_fftMag_mfcc_sma12_amean,lspFreq_sma0_amean,lspFreq_sma1_amean,lspFreq_sma2_amean,lspFreq_sma3_amean,lspFreq_sma4_amean,lspFreq_sma5_amean,lspFreq_sma6_amean,lspFreq_sma7_amean,pcm_zcr_sma_amean,voiceProb_sma_amean,F0_sma_amean,F0env_sma_amean
surprised,2,0,0.335087,0.82779,0.491422,0.480943,0.484002,0.291223,0.575154,0.350002,0.57872,0.403796,0.533851,0.676262,0.677133,0.632698,0.708197,0.571615,0.350981,0.195334,0.721233,0.331489,0.501527,0.306278,0.461303
surprised,2,0,0.35495,0.834773,0.530038,0.4338,0.445415,0.170782,0.531566,0.266608,0.5971,0.348999,0.520752,0.554458,0.58141,0.517917,0.549702,0.438782,0.197898,0.126701,0.678723,0.077035,0.726744,0.391082,0.562757
surprised,2,0,0.310471,0.840737,0.493954,0.500701,0.472854,0.30317,0.608026,0.327331,0.640973,0.398943,0.529508,0.630654,0.636516,0.610166,0.670977,0.484471,0.292922,0.183037,0.714959,0.105548,0.676822,0.409586,0.672282
surprised,2,0,0.388119,0.806616,0.455798,0.455196,0.493447,0.322071,0.559829,0.274142,0.616765,0.35795,0.517699,0.546775,0.561537,0.526536,0.609293,0.450727,0.183158,0.117873,0.70344,0.091089,0.661276,0.341733,0.519424
surprised,2,0,0.349549,0.831181,0.508931,0.499915,0.454978,0.250234,0.561638,0.317898,0.56179,0.385125,0.488458,0.575848,0.594469,0.537432,0.618819,0.446521,0.225998,0.153673,0.698901,0.092114,0.671418,0.35208,0.534797
surprised,2,0,0.32764,0.8578,0.474852,0.434491,0.476376,0.267394,0.545088,0.295917,0.616359,0.379413,0.489141,0.581988,0.642983,0.564036,0.618353,0.458019,0.195825,0.124461,0.693115,0.086629,0.668618,0.386606,0.61218
surprised,2,0,0.379016,0.784089,0.484515,0.446172,0.47891,0.293807,0.547661,0.239468,0.611671,0.332902,0.514344,0.570987,0.542244,0.488866,0.59481,0.45056,0.209843,0.138447,0.68604,0.085367,0.740817,0.419787,0.602469
surprised,2,0,0.361366,0.872398,0.516687,0.489255,0.454361,0.249642,0.570035,0.265336,0.611951,0.360448,0.496473,0.529014,0.602114,0.558506,0.602577,0.436447,0.191942,0.13331,0.692977,0.091069,0.734039,0.422853,0.601119
surprised,2,0,0.352047,0.860745,0.488897,0.451575,0.436675,0.261573,0.57907,0.275889,0.566405,0.391638,0.539156,0.541853,0.607464,0.541014,0.58566,0.431988,0.177476,0.094656,0.670424,0.085313,0.695532,0.403254,0.609714
surprised,2,0,0.368767,0.817892,0.494505,0.452544,0.471163,0.288892,0.542423,0.252259,0.590216,0.382597,0.532845,0.544253,0.573225,0.519718,0.614124,0.459076,0.23314,0.157998,0.691168,0.083649,0.697008,0.367646,0.546335
surprised,2,0,0.367425,0.769904,0.439215,0.43572,0.454368,0.231175,0.517525,0.269845,0.581885,0.327345,0.457851,0.5544,0.580532,0.504196,0.578507,0.440225,0.181269,0.10059,0.685383,0.090699,0.651088,0.359018,0.568506
surprised,2,0,0.346082,0.865706,0.481517,0.449214,0.460734,0.243276,0.529238,0.265344,0.596748,0.384993,0.467851,0.571676,0.620399,0.548375,0.611718,0.461545,0.209924,0.093137,0.673101,0.089116,0.688614,0.471408,0.720898
surprised,2,0,0.349059,0.809247,0.447233,0.47884,0.5048,0.29088,0.535079,0.337575,0.61619,0.376563,0.51343,0.566749,0.632415,0.608254,0.679932,0.53623,0.344186,0.191559,0.725366,0.132263,0.632862,0.337773,0.466111
surprised,2,0,0.437346,0.760984,0.435302,0.468431,0.430298,0.223972,0.463109,0.244874,0.638547,0.377969,0.500719,0.503956,0.532985,0.489407,0.619062,0.489123,0.297709,0.158462,0.682338,0.072338,0.674764,0.373255,0.606296
surprised,2,0,0.437037,0.721745,0.421502,0.439149,0.429538,0.267401,0.463126,0.196215,0.628349,0.45475,0.530256,0.510192,0.489204,0.474741,0.590801,0.489295,0.284396,0.170796,0.703581,0.089479,0.726381,0.504871,0.692315
surprised,2,0,0.417956,0.733359,0.456087,0.458795,0.39817,0.223344,0.501885,0.255524,0.510872,0.439548,0.56259,0.556486,0.53489,0.461871,0.617554,0.491306,0.301852,0.160913,0.693034,0.085656,0.669328,0.409711,0.637851
surprised,2,0,0.428218,0.712398,0.430264,0.42756,0.424383,0.302992,0.512532,0.228694,0.610016,0.440211,0.543511,0.542043,0.515126,0.46705,0.585946,0.49755,0.294256,0.158415,0.684586,0.095862,0.682497,0.470078,0.693268
surprised,2,0,0.373141,0.860264,0.494683,0.45086,0.467609,0.29398,0.539088,0.263969,0.609478,0.393811,0.537368,0.540373,0.590911,0.545575,0.617151,0.450861,0.213977,0.139276,0.696025,0.09609,0.670441,0.354722,0.551752
surprised,2,0,0.547761,0.818012,0.446195,0.72459,0.741809,0.481872,0.717747,0.618864,0.536031,0.552496,0.515676,0.599853,0.832155,0.914866,0.976689,0.919477,1,1,0.982116,0.991321,0.217457,0,0
surprised,2,0,0.350639,0.800829,0.432393,0.491719,0.495924,0.269531,0.546395,0.354479,0.572399,0.372593,0.527479,0.577248,0.630486,0.615971,0.673217,0.510813,0.333501,0.189102,0.721681,0.131767,0.618279,0.299607,0.461312
surprised,2,0,0.434309,0.703953,0.406571,0.514758,0.465126,0.207212,0.421135,0.238301,0.621833,0.337318,0.499264,0.534897,0.506656,0.464924,0.623498,0.490496,0.301286,0.159537,0.694458,0.088056,0.712751,0.415652,0.587301
surprised,2,0,0.414258,0.724807,0.429634,0.468431,0.451684,0.281953,0.513433,0.253172,0.560706,0.415506,0.525616,0.546254,0.52472,0.4822,0.615988,0.489985,0.303083,0.16987,0.709253,0.095597,0.661014,0.338472,0.540305
surprised,2,0,0.409441,0.750124,0.468354,0.50362,0.43082,0.246964,0.486541,0.194266,0.567005,0.414965,0.549614,0.561642,0.529112,0.471279,0.620311,0.49244,0.302361,0.162776,0.700515,0.096582,0.708737,0.465204,0.694532
surprised,2,0,0.427243,0.704893,0.417168,0.483106,0.441623,0.248313,0.506335,0.306659,0.572934,0.365119,0.53488,0.548117,0.522799,0.464396,0.609868,0.490839,0.296635,0.163445,0.698975,0.098081,0.654042,0.468319,0.779401
surprised,2,0,0.407901,0.729552,0.394728,0.461821,0.444725,0.269875,0.49177,0.271243,0.644351,0.398336,0.504658,0.513488,0.503177,0.511796,0.637467,0.465617,0.259436,0.159956,0.714089,0.091943,0.702069,0.401592,0.593378
surprised,2,0,0.388187,0.729121,0.483293,0.509419,0.388729,0.218585,0.442732,0.200969,0.550298,0.463655,0.569647,0.535468,0.53516,0.454829,0.613047,0.464514,0.249438,0.159232,0.702561,0.081547,0.729055,0.417933,0.606489
surprised,2,0,0.366276,0.771636,0.494353,0.536271,0.427047,0.231394,0.513564,0.235196,0.599803,0.415757,0.544733,0.593642,0.552563,0.510163,0.639242,0.476707,0.287174,0.171889,0.711009,0.100771,0.682511,0.44351,0.692258
surprised,2,0,0.384214,0.815192,0.45318,0.426466,0.467795,0.29801,0.624165,0.256168,0.687753,0.392821,0.504459,0.536242,0.539244,0.520275,0.585497,0.453281,0.237205,0.147965,0.692156,0.093237,0.707287,0.364385,0.538441
surprised,2,0,0.364636,0.81778,0.415666,0.441264,0.486883,0.309829,0.547917,0.256458,0.66305,0.438416,0.507297,0.536537,0.616344,0.598653,0.660777,0.477752,0.283648,0.173441,0.711389,0.098092,0.64153,0.367762,0.587305
surprised,2,0,0.402782,0.697279,0.405212,0.497629,0.454267,0.235107,0.483456,0.33234,0.553328,0.310215,0.4977,0.548787,0.514197,0.491549,0.624061,0.47106,0.265163,0.170538,0.713002,0.094167,0.667968,0.364445,0.541047
surprised,2,0,0.396991,0.741591,0.407443,0.442033,0.439167,0.28534,0.514696,0.238759,0.662469,0.401144,0.492018,0.543702,0.511103,0.496874,0.626981,0.465541,0.242187,0.165929,0.694036,0.082127,0.67731,0.390014,0.57903
surprised,2,0,0.421749,0.734558,0.415877,0.462338,0.454223,0.247367,0.474612,0.269211,0.633222,0.387428,0.514071,0.523114,0.523699,0.49781,0.625961,0.4845,0.302345,0.172344,0.715361,0.093294,0.68371,0.383523,0.591991
surprised,2,0,0.390143,0.77167,0.43525,0.466134,0.465291,0.267368,0.487605,0.176119,0.596318,0.398542,0.523611,0.537959,0.547999,0.513232,0.628647,0.474914,0.242324,0.145774,0.702302,0.0878,0.689676,0.391732,0.605064
surprised,2,0,0.346137,0.819949,0.451579,0.479015,0.483044,0.269741,0.518414,0.279972,0.667431,0.41029,0.499366,0.563067,0.61365,0.589181,0.663498,0.48426,0.308784,0.179764,0.719028,0.095964,0.645884,0.392888,0.736373
surprised,2,0,0.382498,0.730064,0.454743,0.530473,0.443778,0.234805,0.456846,0.223518,0.671698,0.365853,0.514567,0.576529,0.539749,0.477364,0.623423,0.468336,0.258396,0.154291,0.693595,0.087178,0.705621,0.415325,0.635699
surprised,2,0,0.268841,0.835805,0.493263,0.453989,0.470522,0.278245,0.575615,0.305828,0.614997,0.395045,0.536326,0.664517,0.643491,0.567765,0.623553,0.454694,0.184898,0.131894,0.698047,0.111804,0.625704,0.366641,0.553524
